Line Number	Position	Line	Error	Message
423	3	"bp(CONSO:""perivascular drainage pathways"") -| a(CHEBI:""amyloid-beta"")"	MissingNamespaceNameWarning	"""perivascular drainage pathways"" is not in the CONSO namespace"
424	38	"path(MESH:""Alzheimer Disease"") neg bp(CONSO:""perivascular drainage pathways"")"	MissingNamespaceNameWarning	"""perivascular drainage pathways"" is not in the CONSO namespace"
425	48	"path(MESH:""Cerebral Amyloid Angiopathy"") neg bp(CONSO:""perivascular drainage pathways"")"	MissingNamespaceNameWarning	"""perivascular drainage pathways"" is not in the CONSO namespace"
431	26	"g(CONSO:""APOE e4"") neg bp(CONSO:""perivascular drainage pathways"")"	MissingNamespaceNameWarning	"""perivascular drainage pathways"" is not in the CONSO namespace"
439	5	"path(CONSO:""high-fat prenatal maternal diet"") -| deg(a(CHEBI:""amyloid-beta""))"	MissingNamespaceNameWarning	"""high-fat prenatal maternal diet"" is not in the CONSO namespace"
448	21	"p(MGI:Aqp4) -> act(a(CONSO:""Glymphatic System""))"	MissingNamespaceNameWarning	"""Glymphatic System"" is not in the CONSO namespace"
449	6	"act(a(CONSO:""Glymphatic System"")) -| a(CHEBI:""amyloid-beta"")"	MissingNamespaceNameWarning	"""Glymphatic System"" is not in the CONSO namespace"
462	23	"path(MESH:Sleep) -> bp(CONSO:""glymphatic bulk flow"")"	MissingNamespaceNameWarning	"""glymphatic bulk flow"" is not in the CONSO namespace"
106	0	"a(CONSO:""20 S Proteasome"") -> bp(GO:""proteasomal ubiquitin-independent protein catabolic process"")"	InvalidFunctionSemantic	"Abundance CONSO:""20 S Proteasome"" should be encoded as one of: Protein"
134	25	act(a(MESH:Microglia)) -> bp(CONSO:Neurodegeneration)	InvalidFunctionSemantic	BiologicalProcess CONSO:Neurodegeneration should be encoded as one of: Pathology
241	26	"a(CHEBI:""amyloid-beta"") -> bp(CONSO:""mitochondrial dysfunction"")"	InvalidFunctionSemantic	"BiologicalProcess CONSO:""mitochondrial dysfunction"" should be encoded as one of: Pathology"
274	0	"a(CONSO:""APOE e4"") -| deg(a(CHEBI:""amyloid-beta""))"	InvalidFunctionSemantic	"Abundance CONSO:""APOE e4"" should be encoded as one of: Gene"
593	0	"a(CONSO:""APOE e4"") -| deg(a(CHEBI:""amyloid-beta""))"	InvalidFunctionSemantic	"Abundance CONSO:""APOE e4"" should be encoded as one of: Gene"
1876	2	"p(NCBIGENE:850633) -> deg(p(CONSO:""TDP-43 aggregates""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1877	2	"p(NCBIGENE:850633) -> deg(p(HGNC:""FUS"", pmod(MESH:""Protein Aggregates"")))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1878	2	"p(NCBIGENE:850633) -> deg(a(CONSO:""alpha-synuclein aggregates""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1885	2	"p(NCBIGENE:850633, var(""p.Ala503Val"")) -| p(CONSO:""TDP-43 aggregates"")"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1886	2	"p(NCBIGENE:850633, var(""p.Ala503Val"")) -| p(HGNC:""TARDBP"", loc(GO:""nucleus""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1887	2	"p(NCBIGENE:850633, var(""p.Ala503Ser"")) -| p(CONSO:""TDP-43 aggregates"")"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1888	2	"p(NCBIGENE:850633, var(""p.Ala503Ser"")) -| p(HGNC:""TARDBP"", loc(GO:""nucleus""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1889	2	"p(NCBIGENE:850633, var(""p.Ala503Cys"")) -| p(CONSO:""TDP-43 aggregates"")"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1890	2	"p(NCBIGENE:850633, var(""p.Ala503Cys"")) -| p(HGNC:""TARDBP"", loc(GO:""nucleus""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1891	2	"p(NCBIGENE:850633, var(""p.Val426Leu"")) -| p(CONSO:""TDP-43 aggregates"")"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1892	2	"p(NCBIGENE:850633, var(""p.Val426Leu"")) -| p(HGNC:""TARDBP"", loc(GO:""nucleus""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1894	2	"p(NCBIGENE:850633, var(""p.Ala503Val"")) -| p(HGNC:""TARDBP"", var(""p.Met337Val""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1895	2	"p(NCBIGENE:850633, var(""p.Ala503Ser"")) -| p(HGNC:""TARDBP"", var(""p.Met337Val""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1896	2	"p(NCBIGENE:850633, var(""p.Ala503Cys"")) -| p(HGNC:""TARDBP"", var(""p.Met337Val""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1897	2	"p(NCBIGENE:850633, var(""p.Val426Leu"")) -| p(HGNC:""TARDBP"", var(""p.Met337Val""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1908	2	"p(NCBIGENE:850633, var(""p.Ala503Val"")) -> deg(p(CONSO:""TDP-43 aggregates""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1909	2	"p(NCBIGENE:850633, var(""p.Ala503Ser"")) -> deg(p(CONSO:""TDP-43 aggregates""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1910	2	"p(NCBIGENE:850633, var(""p.Ala503Val"")) -> deg(p(HGNC:""FUS"", pmod(MESH:""Protein Aggregates"")))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1911	2	"p(NCBIGENE:850633, var(""p.Ala503Ser"")) -> deg(p(HGNC:""FUS"", pmod(MESH:""Protein Aggregates"")))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1912	2	"p(NCBIGENE:850633, var(""p.Ala503Val"")) -> deg(a(CONSO:""alpha-synuclein aggregates""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1913	2	"p(NCBIGENE:850633, var(""p.Ala503Ser"")) -> deg(a(CONSO:""alpha-synuclein aggregates""))"	MissingNamespaceNameWarning	"""850633"" is not in the NCBIGENE namespace"
1921	2	"p(NCBIGENE:855725) -| p(CONSO:""TDP-43 aggregates"")"	MissingNamespaceNameWarning	"""855725"" is not in the NCBIGENE namespace"
