	Name	Version	Authors	Number of Nodes	Number of Namespaces	Number of Edges	Number of Annotations	Number of Citations	Number of Authors	Network Density	Number of Components	Number of Warnings	Author
ms/boxberger209.bel	Dysregulation of Inflammasome Priming and Activation by MicroRNAs in Human Immune-Mediated Diseases.	1.0.0		195	16	451	9	1	3	1.19E-02	3	0	Yojana Gadiya
ms/brownlee2016.bel	Diagnosis of multiple sclerosis: progress and challenges	1.0.0		76	7	126	5	1	4	2.21E-02	3	0	Trusha Adeshara
ms/cappa2017.bel	Pediatric Multiple Sclerosis: Genes, Environment, and a Comprehensive Therapeutic Approach.	1.0.0		89	11	137	6	1	3	1.75E-02	5	0	Yojana Gadiya
ms/comi2016.bel	Evolving concepts in the treatment of relapsing multiple sclerosis	1.0.0		76	9	86	3	1	4	1.51E-02	2	0	Trusha Adeshara
ms/correale2017.bel	Progressive multiple sclerosis: from pathogenic mechanisms to treatment	1.0.0		177	9	317	8	1	4	1.02E-02	4	1	Yojana Gadiya
ms/doshi2016.bel	Multiple sclerosis, a treatable disease.	1.0.0		95	10	151	2	1	2	1.69E-02	2	0	Yojana Gadiya
ms/garg2015.bel	An update on immunopathogenesis, diagnosis, and treatment of multiple sclerosi	1.0.0		142	10	219	5	1	2	1.09E-02	1	0	Trusha Adeshara
ms/ontaneda2016.bel	Progressive multiple sclerosis: prospects for disease therapy, repair, and restoration of function	1.0.0		54	10	72	7	1	4	2.52E-02	3	0	Trusha Adeshara
ms/wang2019.bel	Targeting Microglia and Macrophages: A Potential Treatment Strategy for Multiple Sclerosis	1.0.0		147	12	362	8	1	4	1.69E-02	3	0	Trusha Adeshara
hdac6/carlomagno2017.bel	An acetylation-phosphorylation switch that regulates tau aggregation propensity and function.	1.0.0		39	6	84	4	1	11	5.67E-02	1	0	Yojana Gadiya
hdac6/cohen2011.bel	The acetylation of tau inhibits its function and promotes pathological tau aggregation.	1.0.0		49	7	99	6	1	7	4.21E-02	1	0	Yojana Gadiya
hdac6/cook2014.bel	Acetylation: a new key to unlock tau's role in neurodegeneration..	1.0.0		72	10	182	6	1	5	3.56E-02	1	0	Yojana Gadiya
hdac6/deydewalle2012.bel	HDAC6 at the Intersection of Neuroprotection and Neurodegeneration.	1.0.0		95	9	178	6	1	3	1.99E-02	3	0	Yojana Gadiya
hdac6/fan2018.bel	he novel histone de acetylase 6 inhibitor, MPT0G211, ameliorates tau phosphorylation and cognitive deficits in an Alzheimer's disease model.	1.0.0		44	12	91	5	1	4	4.81E-02	1	0	Yojana Gadiya
hdac6/iaconelli2015.bel	HDAC6 inhibitors modulate Lys49 acetylation and membrane localization of β-catenin in human iPSC-derived neuronal cells.	1.0.0		34	8	99	2	1	8	8.82E-02	1	0	Yojana Gadiya
hdac6/iaconelli2019.bel	HDAC6 Modulates Signaling Pathways Relevant to Synaptic Biology and Neuronal Differentiation in Human Stem-Cell-Derived Neurons.	1.0.0		111	11	231	6	1	3	1.89E-02	2	0	Yojana Gadiya
hdac6/ma2018.bel	Pharmacological inhibition of HDAC6 reverses cognitive impairment and tau pathology as a result of cisplatin treatment.	1.0.0		23	8	44	4	1	5	8.70E-02	1	0	Yojana Gadiya
hdac6/min2018.bel	SIRT1 Deacetylates Tau and Reduces Pathogenic Tau Spread in a Mouse Model of Tauopathy	1.0.0		26	7	45	5	1	10	6.92E-02	2	0	Yojana Gadiya
hdac6/park2018.bel	Degradation or aggregation: the ramifications of post-translational modifications on tau.	1.0.0		99	8	231	4	1	4	2.38E-02	3	0	Yojana Gadiya
app/elliott2018.bel	A role for APP in Wnt signalling links synapse loss with β-amyloid production.	1.0.0		22	5	60	1	1	13	1.30E-01	1	0	Esther Wollert
app/hussain1999.bel	Identification of a novel aspartic protease (Asp 2) as beta-secretase	1.0.0		11	5	19	3	1	15	1.73E-01	1	0	Rana Aldisi
app/maccecchini2012.bel	Posiphen as a candidate drug to lower CSF amyloid precursor protein, amyloid-b peptide and s levels: target engagement, tolerability and pharmacokinetics in humans	0.1.0		11	5	13	7	1	6	1.18E-01	1	0	Lingling Xu
app/morsy2018.bel	Amyloid-Binding Alcohol Dehydrogenase (ABAD) Inhibitors for the Treatment of Alzheimer’s Disease	1.0.0		85	9	119	5	1	2	1.67E-02	2	0	Esther Wollert
app/mroczko2018.bel	Amyloid β oligomers (AβOs) in Alzheimer’s disease	1.0.0		57	7	97	6	1	5	3.04E-02	1	0	Esther Wollert
app/thinakaran2008.bel	Amyloid Precursor Protein Trafficking, Processing, and Function	1.0.0		40	7	48	2	1	2	3.08E-02	1	0	Esther Wollert
app/yeon2007.bel	Effects of peptides derived from BACE1 catalytic domain on APP processing	1.0.0		10	5	30	0	1	4	3.33E-01	1	0	Rana Aldisi
app/zhang2011.bel	APP processing in Alzheimer's disease	1.0.1		144	8	265	5	1	4	1.29E-02	4	0	Sandra Spalek
app/zhang2012.bel	Proteolytic processing of Alzeimer's beta-amyloid precursor protein	1.0.1		132	8	226	3	1	4	1.31E-02	3	0	Sandra Spalek
biomarkers/cdr_sb_associations.bel	CDR-SB Associations	1.0.5	Lukas Beniusis, Charles Tapley Hoyt, and Daniel Domingo-Fernández	93	10	166	9	30	350	1.94E-02	7	0	
biomarkers/cdr_story.bel	KANSL1 Subgraph and CDR Story	1.0.0	Sepehr Golriz, Daniel Domingo-Fernández, Charles Tapley Hoyt	128	10	209	6	15	139	1.29E-02	1	0	
biomarkers/genetics.bel	Genetic Biomarkers for Alzheimer's Disease	1.0.0	Sepehr Golriz, Daniel Domingo-Fernández, Charles Tapley Hoyt	399	12	1085	7	72	1094	6.83E-03	6	0	
biomarkers/neuroimaging.bel	Neuroimaging Biomarkers	1.0.0	Sepehr Golriz, Daniel Domingo-Fernández, Charles Tapley Hoyt	130	10	310	7	40	340	1.85E-02	2	0	
mtor/ryskalin2018.bel	mTOR-Related Brain Dysfunctions in Neuropsychiatric Disorders	1.0.0		129	10	344	6	1	5	2.08E-02	2	0	Sandra Spalek
mitochondrial-dysfunction/qi2019.bel	Dynamin-related protein 1: A critical protein in the pathogenesis of neural system dysfunctions and neurodegenerative diseases.	1.0.0		206	15	527	8	1	4	1.25E-02	1	0	Yojana Gadiya
receptors/albuquerque2009.bel	albuquerque2009	1.0.0		269	11	498	7	1	4	6.91E-03	9	0	Rana Aldisi
receptors/barrie2017.bel	The CHRNA5/CHRNA3/CHRNB4 nicotinic receptor regulome:genomic architecture, regulatory variants, and clinical associations	1.0.0		13	4	35	1	1	7	2.24E-01	2	0	Esther Wollert
receptors/buckingham2009.bel	Nicotinic acetylcholine receptor signalling: roles in Alzheimer's disease and amyloid neuroprotection.	1.0.0		234	11	564	7	1	4	1.03E-02	2	0	Rana Aldisi
receptors/changeux2012.bel	The Nicotinic Acetylcholine Receptor: The Founding Father of the Pentameric Ligand-gated Ion Channel Superfamily	1.0.1		54	5	61	1	1	1	2.13E-02	2	0	Lingling Xu
receptors/choi2014.bel	Activation of M1 and M4 muscarinic receptors as potential treatments for Alzheimer's disease and schizophrenia.	1.0.0		97	7	208	4	1	4	2.23E-02	1	0	Rana Aldisi
receptors/corradi2016.bel	Understanding the Bases of Function and Modulation of alpha7 Nicotinic Receptors: Implications for Drug Discovery.	1.0.0		59	8	109	7	1	2	3.19E-02	1	0	Trusha Adeshara
receptors/dani2007.bel	Nicotinic Acetylcholine Receptors and Nicotinic Cholinergic Mechanisms of the Central Nervous System	1.0.0		86	8	196	4	1	2	2.68E-02	2	0	Esther Wollert and Charles Tapley Hoyt
receptors/dani2015.bel	Neuronal Nicotinic Acetylcholine Receptor Structure and Function and Response to Nicotine	1.0.1		23	7	33	3	1	1	6.52E-02	2	0	Esther Wollert
receptors/djouma2006.bel	The CRF1 receptor antagonist, antalarmin, reverses isolation-induced up-regulation of dopamine D2 receptors in the amygdala and nucleus accumbens of fawn-hooded rats	1.0.0		18	3	34	3	1	4	1.11E-01	1	0	Lingling Xu
receptors/echeverria2012.bel	Cotinine: a potential new therapeutic agent against Alzheimer's disease	1.0.0		78	12	174	6	1	2	2.90E-02	1	0	Trusha Adeshara
receptors/ferreira-vieira2016.bel	Alzheimer's Disease: Targeting the Cholinergic System	1.0.0		161	10	300	5	1	4	1.16E-02	3	0	Sandra Spalek
receptors/forest2019.bel	Assessing Neuroprotective Agents for Aβ-Induced Neurotoxicity	1.0.0		74	9	120	6	1	2	2.22E-02	2	0	Trusha Adeshara
receptors/francis2016.bel	Interplay of neurotransmitters in Alzheimer's disease	1.0.0		43	6	83	6	1	1	4.60E-02	1	0	Rana Aldisi
receptors/jiang2014.bel	M1 muscarinic acetylcholine receptor in Alzheimer’s disease	1.0.0		134	9	234	7	1	7	1.31E-02	4	0	Rana Aldisi
receptors/kabbani2018.bel	Beyond the Channel: Metabotropic Signaling by Nicotinic Receptors.	1.0.0		115	10	224	6	1	2	1.71E-02	2	0	Trusha Adeshara
receptors/kalkman2016.bel	Modulatory effects of α7 nAChRs on the immune system and its relevance for CNS disorders	1.0.0		171	14	330	8	1	2	1.14E-02	2	0	Trusha Adeshara
receptors/king2015.bel	Identification and Characterization of a G Protein-binding Cluster in alpha7 Nicotinic Acetylcholine Receptors	1.0.0		39	7	90	3	1	5	6.07E-02	2	0	Rana Aldisi
receptors/lombardo2015.bel	Role of the nicotinic acetylcholine receptor in Alzheimer's disease pathology and treatment	1.0.1		124	11	246	5	1	2	1.61E-02	2	0	Sandra Spalek
receptors/lombardo2015b.bel	A role for b2* nicotinic receptors in a model of local amyloid pathology induced in dentate gyrus	1.0.0		21	6	40	4	1	4	9.52E-02	1	0	Sandra Spalek
receptors/lorenz2014.bel	Nicotinic α4β2 acetylcholine receptors and cognitive function in Parkinson's disease	1.0.0		9	2	21	1	1	8	2.92E-01	1	0	Lingling Xu
receptors/majdi2019.bel	Molecular Insights Into Memory-Enhancing Metabolites of Nicotine in Brain: A Systematic Review.	1.0.0		80	10	139	4	1	4	2.20E-02	1	0	Trusha Adeshara
receptors/mandrekar2011.bel	Nuclear receptors as therapeutic targets for Alzheimer's disease.	1.0.0		82	8	169	2	1	2	2.54E-02	4	0	Esther Wollert
receptors/matta2017.bel	NACHO Mediates Nicotinic Acetylcholine Receptor Function throughout the Brain	1.0.0		63	8	120	3	1	7	3.07E-02	1	0	Sandra Spalek
receptors/miwa2011.bel	Neural Systems Governed by Nicotinic Acetylcholine Receptors: Emerging Hypotheses	1.0.0		106	10	237	5	1	3	2.13E-02	3	0	Sandra Spalek
receptors/mufson2008.bel	Cholinergic system during the progression of Alzheimer’s disease: therapeutic implications	1.0.0		175	10	308	6	1	4	1.01E-02	2	0	Rana Aldisi
receptors/nordberg2001.bel	Nicotinic Receptor Abnormalities of Alzheimer’s Disease: Therapeutic Implications	1.0.0		59	7	124	3	1	1	3.62E-02	2	2	Sandra Spalek
receptors/post-munson2017.bel	B-973, a novel piperazine positive allosteric modulator of the α7 nicotinic acetylcholine receptor	1.0.0		13	7	20	2	1	14	1.28E-01	1	0	Sandra Spalek
receptors/ren2007.bel	The alpha7 nicotinic receptor agonist 4OH-GTS-21 protects axotomized septohippocampal cholinergic neurons in wild type but not amyloid-overexpressing transgenic mice	1.0.0		13	5	13	3	1	8	8.33E-02	1	0	Sandra Spalek
receptors/sadigh-eteghad2015.bel	Selective activation of α7 nicotinic acetylcholine receptor by PHA-543613 improves Aβ25-35-mediated cognitive deficits in mice	1.0.0		11	5	35	4	1	5	3.18E-01	1	0	Rana Aldisi
receptors/taly2009.bel	Nicotinic receptors: allosteric transitions and therapeutic targets in the nervous system	1.0.0		117	10	210	6	1	5	1.55E-02	11	0	Rana Aldisi
receptors/valles2011.bel	Chaperoning α7 neuronal nicotinic acetylcholine receptors	1.0.0		76	8	113	6	1	2	1.98E-02	2	0	Esther Wollert
receptors/walsh2008.bel	Up-regulation of Nicotinic Receptors by Nicotine Varies with Receptor Subtype	1.0.0		8	3	12	1	1	7	2.14E-01	1	0	Esther Wollert
receptors/wang2016.bel	Estrogen receptor-α is localized to neurofibrillary tangles in Alzheimer's disease	1.0.0		10	5	17	2	1	9	1.89E-01	1	0	Esther Wollert
receptors/wu2011.bel	Naturally-expressed nicotinic acetylcholine receptor subtypes	1.0.0		49	7	82	3	1	2	3.49E-02	2	0	Esther Wollert
receptors/zoli2018.bel	Neuronal and Extraneuronal Nicotinic Acetylcholine Receptors.	1.0.0		110	8	208	4	1	4	1.73E-02	2	2	Lingling Xu
immunotherapy/jadhav2013.bel	Protein truncation as a common denominator of human neurodegenerative foldopathies	1.0.0		151	9	306	5	1	3	1.35E-02	1	0	Yojana Gadiya
immunotherapy/kontsekova2014.bel	Identification of structural determinants on tau protein essential for its pathological function: novel therapeutic target for tau immunotherapy in Alzheimer’s disease	1.0.0		31	4	51	3	1	1	5.48E-02	1	1	Yojana Gadiya
immunotherapy/kontsekova2014_2.bel	First-in-man tau vaccine targeting structural determinants essential for pathological tau-tau interaction reduces tau oligomerisation and neurofibrillary degeneration in an Alzheimer's disease model	1.0.0		44	6	71	4	1	5	3.75E-02	1	0	Yojana Gadiya
adnp/hacohen-kleiman2018.bel	Activity-dependent neuroprotective protein deficiency models synaptic and developmental phenotypes of autism-like syndrome	1.0.0		70	5	169	5	1	10	3.50E-02	1	0	Sandra Spalek
adnp/sragovich2019.bel	The autism/neuroprotection-linked ADNP/NAP regulate the excitatory glutamatergic synapse	1.0.0		27	6	66	4	1	8	9.40E-02	1	0	Sandra Spalek
adnp/van-dijck2019.bel	Clinical presentation of a complex neurodevelopmental disorder caused by mutations in ADNP	1.0.0		29	3	32	1	1	21	3.94E-02	1	0	Esther Wollert
adnp/ziv2018.bel	Activity-dependent neuroprotective protein (ADNP) is an alcohol-responsive gene and negative regulator of alcohol consumption in female mice	1.0.0		12	5	29	4	1	10	2.20E-01	1	0	Sandra Spalek
anatabine/caturegli2012.bel	Anatabine ameliorates experimental autoimmune thyroiditis.	1.0.0		16	5	20	4	1	7	8.33E-02	2	0	Esther Wollert
anatabine/paris2011.bel	Anatabine lowers Alzheimer's Aβ production in vitro and in vivo	1.0.0		22	7	40	5	1	10	8.66E-02	1	0	Sandra Spalek
anatabine/paris2013.bel	Anti-inflammatory activity of anatabine via inhibition of STAT3 phosphorylation	1.0.0		25	6	78	6	1	9	1.30E-01	2	0	Sandra Spalek
anatabine/paris2013b.bel	Amelioration of Experimental Autoimmune Encephalomyelitis by Anatabine	1.0.0		25	7	82	5	1	8	1.37E-01	1	0	Sandra Spalek
anatabine/paris2014.bel	Anatabine Attenuates Tau Phosphorylation and Oligomerization in P301S Tau Transgenic Mice	1.0.0		18	7	30	3	1	0	9.80E-02	1	0	Sandra Spalek
anatabine/rosecrans2017.bel	Discriminative Stimulus Properties of S(−)-Nicotine: “A Drug for All Seasons	1.0.0		69	7	100	5	1	2	2.13E-02	3	0	Sandra Spalek
anatabine/verma2015.bel	Chronic Anatabine Treatment Reduces Alzheimer ’ s Disease (AD)-Like Pathology and Improves Socio-Behavioral Deficits in a Transgenic Mouse Model of AD	1.0.0		22	7	41	5	1	7	8.87E-02	1	0	Esther Wollert
anatabine/wang2009.bel	Silencing of PMT expression caused a surge of anatabine accumulation in tobacco	1.0.0		13	3	21	1	1	6	1.35E-01	1	0	Sandra Spalek
oxidative-stress/hybertson2011.bel	Oxidative stress in health and disease: The therapeutic potential of Nrf2 activation	1.0.0		156	7	318	5	1	4	1.32E-02	6	0	Sandra Spalek
oxidative-stress/shefa2019.bel	Mitophagy links oxidative stress conditions and neurodegenerative diseases	1.0.0		84	10	165	5	1	7	2.37E-02	1	0	Esther Wollert
phagocytosis/deming2019.bel	The MS4A gene cluster is a key modulator of soluble TREM2 and Alzheimer’s disease risk	1.0.0		27	6	51	2	1	36	7.26E-02	2	0	Yojana Gadiya
pp2a/seshacharyulu2013.bel	Phosphatase: PP2A structural importance, regulation and its aberrant expression in cancer	1.0.0		88	8	151	3	1	4	1.97E-02	1	0	Esther Wollert
pp2a/shi2009.bel	Assembly and structure of protein phosphatase 2A	1.0.0		67	10	179	4	1	1	4.05E-02	1	0	Sandra Spalek
pp2a/sontag2014.bel	Protein phosphatase 2A dysfunction in Alzheimer’s disease	1.0.0		126	10	426	4	1	2	2.70E-02	1	0	Sandra Spalek
pp2a/terwel2002.bel	Axonal Transport, Tau Protein, and Neurodegeneration in Alzheimer’s Disease	1.0.0		43	9	61	3	1	3	3.38E-02	1	0	Esther Wollert
pp2a/torrent2012.bel	PP2A and Alzheimer Disease	1.0.0		48	7	110	3	1	2	4.88E-02	1	0	Esther Wollert
pp2a/wang2017.bel	Tau interactome mapping based identification of Otub1 as Tau deubiquitinase involved in accumulation of pathological Tau forms in vitro and in vivo	1.0.0		22	5	60	4	1	14	1.30E-01	1	0	Sandra Spalek
huntington/decristo2019.bel	Meldonium improves Huntington's disease mitochondrial dysfunction by restoring peroxisome proliferator-activated receptor γ coactivator 1α expression.	1.0.0		46	7	64	5	1	12	3.09E-02	2	0	Yojana Gadiya
huntington/goh2018.bel	Huntington's disease: Neuropsychiatric manifestations of Huntington's disease	1.0.0		22	3	45	3	1	6	9.74E-02	1	0	Esther Wollert
huntington/jiang2012.bel	Neuroprotective role of Sirt1 in mammalian models of Huntington's disease through activation of multiple Sirt1 targets	1.0.0		38	8	60	6	1	30	4.27E-02	1	0	Yojana Gadiya
huntington/jin2010.bel	The interrelationship between mitochondrial dysfunction and transcriptional dysregulation in Huntington disease.	1.0.0		73	12	96	4	1	2	1.83E-02	4	0	Yojana Gadiya
huntington/loi2018.bel	Huntington's disease: Managing neuropsychiatric symptoms in Huntington's disease	1.0.0		37	6	68	2	1	4	5.11E-02	2	0	Yojana Gadiya
huntington/nguyen2016.bel	Impaired TrkB Signaling Underlies Reduced BDNF-Mediated Trophic Support of Striatal Neurons in the R6/2 Mouse Model of Huntington's Disease	1.0.0		38	8	84	6	1	3	5.97E-02	2	0	Trusha Adeshara
huntington/pandey2018.bel	Huntington’s disease: the coming of age	1.0.0		223	16	348	7	1	2	7.03E-03	4	0	Trusha Adeshara
huntington/sarantos2012.bel	Pizotifen Activates ERK and Provides Neuroprotection in vitro and in vivo in Models of Huntington’s Disease	1.0.0		76	9	167	6	1	4	2.93E-02	1	0	Trusha Adeshara
huntington/seong2010.bel	Huntingtin facilitates polycomb repressive complex 2	1.0.0		24	8	31	3	1	14	5.62E-02	3	0	Yojana Gadiya
hypoxia/zhang2011.bel	Hypoxia Inducible Factor-1 as a Target for Neurodegenerative Diseases.	1.0.0		139	13	255	6	1	5	1.33E-02	1	0	Yojana Gadiya
er-stress/bruch2017.bel	PERK activation mitigates tau pathology in vitro and in vivo.	1.0.0		76	13	194	6	1	10	3.40E-02	1	0	Yojana Gadiya
er-stress/doyle2011.bel	Unfolded proteins and endoplasmic reticulum stress in neurodegenerative disorders	1.0.0		251	12	549	7	1	6	8.75E-03	3	2	Trusha Adeshara
er-stress/guo2019.bel	A pathogenic tau fragment compromises microtubules, disrupts insulin signaling and induces the unfolded protein response	1.0.0		59	11	133	3	1	5	3.89E-02	1	0	Yojana Gadiya
er-stress/muneer2019.bel	Endoplasmic Reticulum Stress: Implications for Neuropsychiatric Disorders	1.0.0		97	9	143	4	1	2	1.54E-02	3	0	Yojana Gadiya
tfeb/bao2016.bel	Deacetylation of TFEB promotes fibrillar Aβ degradation by upregulating lysosomal biogenesis in microglia.	1.0.0		40	7	105	5	1	14	6.73E-02	1	0	Yojana Gadiya
tfeb/martini-stocia2016.bel	The Autophagy-Lysosomal Pathway in Neurodegeneration: A TFEB Perspective.	1.0.0		116	10	234	5	1	4	1.75E-02	1	0	Yojana Gadiya
tfeb/martini-stoica2018.bel	TFEB enhances astroglial uptake of extracellular tau species and reduces tau spreading.	1.0.0		49	9	105	6	1	12	4.46E-02	2	0	Yojana Gadiya
tfeb/sardiello2016.bel	Transcription factor EB: from master coordinator of lysosomal pathways to candidate therapeutic target in degenerative storage diseases	1.0.0		178	11	444	6	1	1	1.41E-02	2	0	Yojana Gadiya
proteostasis/brehme2014.bel	A chaperome subnetwork safeguards proteostasis in aging and neurodegenerative disease.	1.0.0		31	7	54	3	1	12	5.81E-02	1	0	Esther Wollert
proteostasis/brehme2016.bel	Model systems of protein-misfolding diseases reveal chaperone modifiers of proteotoxicity	1.0.0		48	10	83	3	1	2	3.68E-02	3	0	Esther Wollert
proteostasis/brekk2018.bel	Impairment of chaperone-mediated autophagy affects neuronal homeostasis through altered expression of DJ-1 and CRMP-2 proteins 	1.0.0		42	5	80	5	1	6	4.65E-02	1	0	Trusha Adeshara
proteostasis/chung2018.bel	Alzheimer’s disease and the autophagic-lysosomal system	1.0.0		164	9	372	6	1	4	1.39E-02	1	0	Sandra Spalek
proteostasis/ciechanover2013.bel	The Ubiquitin Proteasome System in Neurodegenerative Diseases: Sometimes the Chicken, Sometimes the Egg	1.0.0		272	10	492	6	1	2	6.67E-03	4	0	Sandra Spalek
proteostasis/ihara2012.bel	The Ubiquitin–Proteasome System and the Autophagic–Lysosomal System in Alzheimer Disease	1.0.0		188	8	471	5	1	3	1.34E-02	7	0	Sandra Spalek
proteostasis/kim2013.bel	Molecular Chaperone Functions in Protein Folding and Proteostasis	1.0.0		65	9	112	3	1	5	2.69E-02	2	0	Esther Wollert
proteostasis/kleiger2014.bel	Perilous journey: a tour of the ubiquitin–proteasome system	1.0.0		58	7	94	1	1	2	2.84E-02	2	0	Sandra Spalek
proteostasis/morimoto2015.bel	The Biology of Proteostasis in Aging and Disease	1.0.0		94	11	162	7	1	2	1.85E-02	2	0	Esther Wollert
proteostasis/nedelsky2008.bel	Autophagy and the ubiquitin-proteasome system: collaborators in neuroprotection	1.0.0		127	6	243	6	1	3	1.52E-02	2	0	Sandra Spalek
proteostasis/niforou2014.bel	Molecular chaperones and proteostasis regulation during redox imbalance	1.0.0		74	9	96	2	1	3	1.78E-02	3	0	Esther Wollert
proteostasis/taipale2014.bel	A Quantitative Chaperone Interaction Network Reveals the Architecture of Cellular Protein Homeostasis Pathways	1.0.0		288	7	566	2	1	10	6.85E-03	8	0	Sandra Spalek
proteostasis/yu2014.bel	Protein aggregation can inhibit clathrin-mediated endocytosis by chaperone competition	1.0.0		13	4	15	4	1	6	9.62E-02	2	0	Esther Wollert
snca/bengoa2017.bel	Alpha-synuclein oligomers: a new hope 	1.0.0		48	6	64	3	1	4	2.84E-02	2	0	Esther Wollert
snca/pieri2016.bel	Structural and functional properties of prefibrillar α-synuclein oligomers	1.0.0		13	4	19	4	1	3	1.22E-01	1	0	Esther Wollert and Charles Tapley Hoyt
antalarmin/alderman2018.bel	Corticotropin-releasing factor regulates caspase-3 and may protect developing zebrafish from stress-induced apoptosis	1.0.0		7	2	14	4	1	4	3.33E-01	1	0	Lingling Xu
antalarmin/dinopoulou2013.bel	The effect of CRH and its inhibitor, antalarmin, on in vitro growth of preantral mouse follicles, early embryo development, and steroidogenesis.	1.0.0		10	4	15	1	1	8	1.67E-01	1	0	Lingling Xu
antalarmin/lewis1996.bel	In Vivo and In Vitro Characterization of Antalarmin, a Nonpeptide Corticotropin-Releasing Hormone (CRH) Receptor Antagonist: Suppression of Pituitary ACTH Release and Peripheral Inflammation	1.0.0		7	5	11	8	1	6	2.62E-01	1	0	Kristian Kolpeja
tau/balaji2018.bel	Pathological missorting of endogenous MAPT/Tau in neurons caused by failure of protein degradation systems	1.0.1		27	7	52	2	1	5	7.41E-02	1	0	Esther Wollert
tau/baumann1993.bel	Abnormal Alzheimer-like phosphorylation of tau-protein by cyclin-dependent kinases cdk2 and cdk5	1.0.0		20	6	70	2	1	5	1.84E-01	1	0	Sandra Spalek
tau/biswas2016.bel	MMP-9 and MMP-2 Contribute to Neuronal Cell Death in iPSC Models of Frontotemporal Dementia with MAPT Mutations	1.0.0		34	8	88	5	1	12	7.84E-02	1	0	Sandra Spalek
tau/boland2018.bel	Promoting the clearance of neurotoxic proteins in neurodegenerative disorders of ageing	1.0.0	Esther Wollert, Sandra Spalek, and Charles Tapley Hoyt	200	9	400	3	1	19	1.01E-02	3	0	
tau/bulic2012.bel	Progress and Developments in Tau Aggregation Inhibitors for Alzheimer Disease	0.1.0		23	3	25	10	1	3	4.94E-02	1	0	Charles Tapley Hoyt
tau/caballero2018.bel	Interplay of pathogenic forms of human tau with different autophagic pathways	1.0.1		59	7	141	3	1	9	4.12E-02	1	0	Sandra Spalek
tau/cabrales2017.bel	Multivalent cross-linking of actin filaments and microtubules through the microtubule-associated protein Tau	1.0.0		57	5	116	1	1	6	3.63E-02	1	0	Sandra Spalek
tau/chesser2013.bel	Tau clearance mechanisms and their possible role in the pathogenesis of Alzheimer disease	1.0.1		117	9	296	6	1	3	2.18E-02	2	0	Rana Aldisi
tau/cox2016.bel	Analysis of Isoform-specific Tau Aggregates Suggests a Common Toxic Mechanism Involving Similar Pathological Conformations and Axonal Transport Inhibition	1.0.1		32	4	191	2	1	6	1.93E-01	1	0	Sandra Spalek
tau/defelice2008.bel	Alzheimer's disease-type neuronal tau hyperphosphorylation induced by A beta oligomers	1.0.1		23	7	54	5	1	13	1.07E-01	1	0	Rana Aldisi
